tag,building,climate,source,source_type,format,model,seed,energy_ratio,anomaly
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,1.1059373789955664,False
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,1.379522007918453,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,0.8917697620990618,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,0.8617186131083758,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,0.9109258027346819,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,0.8912759914717483,False
OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,0.8975820517460756,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,1.08989339124763,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,1.1454435348050511,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,0.8827141337731715,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,1.0705201456918914,False
OfficeMedium_5A_F3_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,0.8770416280614509,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,0.8927810925458531,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,0.8718742791598353,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,0.9190501653744761,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,0.9092959346143269,False
OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,0.8441269199291548,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,1.0601032291990002,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,1.136477747265523,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,0.9406310924075199,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,1.2364445321031576,False
OfficeMedium_5A_F4_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,1.2441151826470167,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799867,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,20.64536364208132,True
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799868,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,0.8704525493509677,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799869,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,1.0127864908654893,False
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799870,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,12.451998782890994,True
RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799871,RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,20.71800516418994,True
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,0.9196597621365689,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,0.8854795330845711,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,0.8769383169220597,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,0.9100919249775574,False
RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,0.8736905285375679,False
