building,format,model,true_name,mean,std,n,sti,stable
OfficeMedium,F2,llama-3.3-70b-versatile,outdoor_air,140.74074074074073,20.704333124998044,5,0.14710973536182823,False
OfficeMedium,F2,llama-3.3-70b-versatile,window_shgc,30.687830687830683,8.28173324999923,5,0.2698702731465267,False
OfficeMedium,F2,llama-3.3-70b-versatile,window_u_value,14.127692606248782,0.0,5,0.0,True
OfficeMedium,F2,openai/gpt-oss-120b,cooling_cop,7.631656369520445,3.929669243503395,5,0.514916952917041,False
OfficeMedium,F2,openai/gpt-oss-120b,cooling_setpoint_C,6.432748538011691,0.0,5,0.0,True
OfficeMedium,F2,openai/gpt-oss-120b,equipment_W_m2,51.09585682765384,18.794040117042293,5,0.36781925744849586,False
OfficeMedium,F2,openai/gpt-oss-120b,heating_setpoint_C,4.237700925474909,2.6679130906242867,5,0.6295661580519158,False
OfficeMedium,F2,openai/gpt-oss-120b,lighting_W_m2,57.563025210084035,12.995579288481974,5,0.22576261829625618,False
OfficeMedium,F2,openai/gpt-oss-120b,occupancy_m2_person,25.72259002099144,8.844220208383112,5,0.34383085844643196,False
OfficeMedium,F2,openai/gpt-oss-120b,outdoor_air,904.6296296296296,425.44759775583884,5,0.4703003127700164,False
OfficeMedium,F2,openai/gpt-oss-120b,window_shgc,32.592592592592595,15.555015647686817,5,0.4772561619176637,False
OfficeMedium,F2,openai/gpt-oss-120b,window_u_value,49.5439549776829,25.5225275326269,5,0.5151491749926612,False
OfficeMedium,F3,llama-3.3-70b-versatile,cooling_cop,31.215063253898204,2.6314421624004605,5,0.08430039500470467,True
OfficeMedium,F3,llama-3.3-70b-versatile,cooling_setpoint_C,6.1208576998050646,0.9307864628704358,5,0.1520679794434821,False
OfficeMedium,F3,llama-3.3-70b-versatile,equipment_W_m2,38.71046825202255,0.0,5,0.0,True
OfficeMedium,F3,llama-3.3-70b-versatile,heating_setpoint_C,2.6205552849488596,0.08713367666828023,5,0.033250081449810225,True
OfficeMedium,F3,llama-3.3-70b-versatile,lighting_W_m2,27.334933973589436,33.07125748234983,5,1.2098532052172775,False
OfficeMedium,F3,llama-3.3-70b-versatile,occupancy_m2_person,29.17810431131923,12.035459268527852,5,0.41248256364135577,False
OfficeMedium,F3,llama-3.3-70b-versatile,outdoor_air,446.29629629629625,72.4651659374932,5,0.16237008135371922,False
OfficeMedium,F3,llama-3.3-70b-versatile,window_shgc,11.111111111111107,0.0,5,0.0,True
OfficeMedium,F3,llama-3.3-70b-versatile,window_u_value,11.100329904909767,4.3393517902188865,5,0.39092097508737605,False
OfficeMedium,F3,openai/gpt-oss-120b,cooling_cop,29.449838187702266,6.578605406001147,5,0.22338341433564335,False
OfficeMedium,F3,openai/gpt-oss-120b,cooling_setpoint_C,4.873294346978552,0.8717613947367602,5,0.1788854381999834,False
OfficeMedium,F3,openai/gpt-oss-120b,equipment_W_m2,33.934787938220154,10.916811840765085,5,0.3216997218500273,False
OfficeMedium,F3,openai/gpt-oss-120b,heating_setpoint_C,1.6074037993180768,1.3339565453121434,5,0.8298826628866124,False
OfficeMedium,F3,openai/gpt-oss-120b,lighting_W_m2,30.972388955582225,8.219126012982684,5,0.2653694561556038,False
OfficeMedium,F3,openai/gpt-oss-120b,occupancy_m2_person,14.617578987028363,6.361942403230254,5,0.4352254507313311,False
OfficeMedium,F3,openai/gpt-oss-120b,outdoor_air,733.3333333333334,126.78762905212182,5,0.17289222143471156,False
OfficeMedium,F3,openai/gpt-oss-120b,window_shgc,7.9365079365079385,2.8980029497627786,5,0.36514837167011,False
OfficeMedium,F3,openai/gpt-oss-120b,window_u_value,21.288569765185333,0.0,5,0.0,True
OfficeMedium,F4,llama-3.3-70b-versatile,cooling_cop,28.86142983230362,4.834267939145329,5,0.16749925305968372,False
OfficeMedium,F4,llama-3.3-70b-versatile,cooling_setpoint_C,6.432748538011691,0.0,5,0.0,True
OfficeMedium,F4,llama-3.3-70b-versatile,equipment_W_m2,35.523412601127724,4.1205531537071876,5,0.11599541969614645,False
OfficeMedium,F4,llama-3.3-70b-versatile,heating_setpoint_C,2.5815879201169074,0.0,5,0.0,True
OfficeMedium,F4,llama-3.3-70b-versatile,lighting_W_m2,23.517406962785117,20.17442591122445,5,0.857850780196527,False
OfficeMedium,F4,llama-3.3-70b-versatile,occupancy_m2_person,40.19053770385919,2.3993767958671643,5,0.05970004217278164,True
OfficeMedium,F4,llama-3.3-70b-versatile,outdoor_air,441.66666666666663,70.5923642684116,5,0.1598317681548942,False
OfficeMedium,F4,llama-3.3-70b-versatile,window_shgc,11.111111111111107,0.0,5,0.0,True
OfficeMedium,F4,llama-3.3-70b-versatile,window_u_value,13.040947021152736,5.314598850234493,5,0.4075316648103917,False
OfficeMedium,F4,openai/gpt-oss-120b,cooling_cop,41.2180052956752,8.057113231908888,5,0.1954755736992028,False
OfficeMedium,F4,openai/gpt-oss-120b,cooling_setpoint_C,5.263157894736837,1.0676852972810256,5,0.20286020648339506,False
OfficeMedium,F4,openai/gpt-oss-120b,equipment_W_m2,55.2243196861976,27.59301060434358,5,0.49965324627149715,False
OfficeMedium,F4,openai/gpt-oss-120b,heating_setpoint_C,2.5815879201169074,0.0,5,0.0,True
OfficeMedium,F4,openai/gpt-oss-120b,lighting_W_m2,6.494597839135653,7.658579090296877,5,1.179222991167708,False
OfficeMedium,F4,openai/gpt-oss-120b,occupancy_m2_person,20.1700845040099,9.893693345426353,5,0.4905132322801843,False
OfficeMedium,F4,openai/gpt-oss-120b,outdoor_air,710.1851851851852,81.84106263733192,5,0.11523904517381808,False
OfficeMedium,F4,openai/gpt-oss-120b,window_shgc,12.169312169312168,2.366209499999779,5,0.19444069369563405,False
OfficeMedium,F4,openai/gpt-oss-120b,window_u_value,28.080729672035705,11.169090270930852,5,0.39774928933038484,False
