Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 06/12  22:00:00,,,28540039.113471266,15238279.907154456,28540039.11347126,5278242.293655227 
 06/12  23:00:00,,,30857842.215149246,17150120.057866313,30857842.215149246,5252311.041722091 
 06/12  24:00:00,,,24100896.883787706,12672171.062015373,24100896.883787706,5156187.140534807 
 06/13  01:00:00,,,19972037.22273343,12056845.847863462,19972037.22273343,2698247.153024213 
 06/13  02:00:00,,,19598445.403808475,12066163.80388038,19598445.403808475,2293990.1028341614 
 06/13  03:00:00,,,20458271.88995913,11956057.28042778,20458271.88995913,3218126.055328357 
 06/13  04:00:00,,,22809029.22510904,12286376.850785581,22809029.22510904,3248738.957662525 
 06/13  05:00:00,,,24589572.81787747,13651660.025545737,24589572.81787747,5774274.108751285 
 06/13  06:00:00,,,23622300.10296051,14363418.947126664,23622300.10296051,5266696.087917301 
 06/13  07:00:00,,,23158263.271565054,14528417.759944461,23158263.271565054,5403472.568687717 
 06/13  08:00:00,,,24196791.465815775,15566238.592361167,24196791.46581577,5351336.2275246885 
 06/13  09:00:00,,,24511480.443924043,15897834.016239883,24511480.443924043,5293657.131386368 
 06/13  10:00:00,,,26012335.010927826,17509871.17651664,26012335.010927822,5140427.225935929 
 06/13  11:00:00,,,33764178.9666787,21530704.771823928,33764178.9666787,8537756.43846404 
 06/13  12:00:00,,,30925412.91056408,17620402.984476212,30925412.910564072,9303751.321802448 
 06/13  13:00:00,,,32660952.432715323,17399339.36855707,32660952.43271532,11810801.686435485 
 06/13  14:00:00,,,33632283.77400305,17178275.752637926,33632283.774003044,12993634.376562368 
 06/13  15:00:00,,,32412456.65082936,17178275.752637926,32412456.650829352,11790055.792034175 
 06/13  16:00:00,,,33258276.924752336,17509871.17651664,33258276.92475233,12424006.590963708 
 06/13  17:00:00,,,33920487.8920448,17509871.17651664,33920487.8920448,13078416.804817757 
 06/13  18:00:00,,,33994428.796123356,17288807.560597498,33994428.79612335,13374103.650426283 
 06/13  19:00:00,,,32827346.818821486,17067743.944678355,32827346.81882148,12432043.536682751 
 06/13  20:00:00,,,32300174.77092028,17335201.885568406,32300174.770920277,11637680.353973633 
 06/13  21:00:00,,,36301561.88428303,18461480.524709165,36301561.88428302,9713406.433604233 
 06/13  22:00:00,,,30412461.82290725,15238279.907154456,30412461.82290725,7081573.059518608 
 06/13  23:00:00,,,31476570.96603932,17150120.057866313,31476570.96603931,5794391.08322752 
 06/13  24:00:00,,,24165613.63117326,12672171.062015373,24165613.631173257,5137355.136900605 
 06/14  01:00:00,,,20354312.280852452,12056845.847863462,20354312.280852452,3068229.3564000484 
 06/14  02:00:00,,,19809117.783816896,12066163.80388038,19809117.78381689,2501328.938137427 
 06/14  03:00:00,,,20741017.6322106,11956057.28042778,20741017.632210597,3496276.88461801 
 06/14  04:00:00,,,20930552.75630923,12286376.850785581,20930552.75630923,2990805.1380121135 
 06/14  05:00:00,,,23130682.858788818,13670701.659673762,23130682.858788818,5620025.18969057 
 06/14  06:00:00,,,22914650.28975234,14345806.882983007,22914650.28975234,5140482.347024733 
 06/14  07:00:00,,,23065459.04593652,14528417.759944461,23065459.045936517,5205487.794635794 
 06/14  08:00:00,,,24851895.19565237,15566238.592361167,24851895.19565237,5874374.957811941 
 06/14  09:00:00,,,27008240.015351962,15897834.016239883,27008240.01535196,7671945.152384558 
 06/14  10:00:00,,,30802218.145478852,17509871.17651664,30802218.14547885,9849681.053522764 
 06/14  11:00:00,,,40060106.27469213,21530704.771823928,40060106.274692126,14821149.991157442 
 06/14  12:00:00,,,37263844.30000068,17620402.984476212,37263844.30000068,15632484.89254526 
 06/14  13:00:00,,,38789550.67893008,17399339.36855707,38789550.678930074,17940466.355121575 
 06/14  14:00:00,,,39592285.03842633,17178275.752637926,39592285.03842633,18954688.900282476 
 06/14  15:00:00,,,37846321.82174761,17178275.752637926,37846321.82174761,17218840.53933139 
 06/14  16:00:00,,,37371638.26919108,17509871.17651664,37371638.269191064,16527617.867639577 
 06/14  17:00:00,,,36334503.48210327,17509871.17651664,36334503.482103266,15489004.052437183 
 06/14  18:00:00,,,35095757.31065076,17288807.560597498,35095757.31065075,14474521.636194471 
 06/14  19:00:00,,,34679688.201435715,17067743.944678355,34679688.20143571,13881456.349441204 
 06/14  20:00:00,,,34439603.46344702,17018860.900020108,34439603.46344701,13712550.492010374 
 06/14  21:00:00,,,39259135.905231096,18461480.524709165,39259135.905231096,12376979.963935802 
 06/14  22:00:00,,,33164922.742673993,15238279.907154456,33164922.74267398,9829875.181630027 
 06/14  23:00:00,,,33555203.74451718,17150120.057866313,33555203.74451718,7854014.264755809 
 06/14  24:00:00,,,24658961.548100706,12672171.062015373,24658961.548100706,5583367.213698721 
 06/15  01:00:00,,,20660211.188426405,12056845.847863462,20660211.188426405,3351665.8785405695 
 06/15  02:00:00,,,19916150.959557295,12066163.80388038,19916150.959557295,2603745.428939297 
 06/15  03:00:00,,,20608704.62347527,11956057.28042778,20608704.62347527,3362575.065668252 
 06/15  04:00:00,,,20489805.369813487,12286376.850785581,20489805.369813483,2551492.7358445204 
 06/15  05:00:00,,,23049702.673226304,13630593.617395418,23049702.6732263,5586209.573835309 
 06/15  06:00:00,,,22855902.24969846,14326800.8953625,22855902.24969846,5083843.499600133 
 06/15  07:00:00,,,23016015.652026933,14528417.759944461,23016015.652026936,5118497.455063351 
 06/15  08:00:00,,,25970433.688921597,15566238.592361167,25970433.688921593,6984487.517003928 
 06/15  09:00:00,,,27896119.129252505,15897834.016239883,27896119.129252505,8568936.330323441 
 06/15  10:00:00,,,31194460.843310572,17509871.17651664,31194460.84331056,10254151.162130434 
 06/15  11:00:00,,,39223110.44137366,21530704.771823928,39223110.44137365,13998323.013197081 
 06/15  12:00:00,,,35911650.21114914,17620402.984476212,35911650.211149134,14300840.651989277 
 06/15  13:00:00,,,36053302.28816209,17399339.36855707,36053302.28816209,15226136.808902217 
 06/15  14:00:00,,,35785623.97573991,17178275.752637926,35785623.97573991,15171576.380450616 
 06/15  15:00:00,,,34429109.73516336,17178275.752637926,34429109.73516335,13831486.369973091 
 06/15  16:00:00,,,34242277.81543159,17509871.17651664,34242277.81543159,13427038.896687828 
 06/15  17:00:00,,,34098571.694248505,17509871.17651664,34098571.6942485,13277539.347058909 
 06/15  18:00:00,,,33526735.190071024,17288807.560597498,33526735.190071017,12928965.838571725 
 06/15  19:00:00,,,33126520.970317956,17067743.944678355,33126520.97031795,12348302.396793773 
 06/15  20:00:00,,,32456079.263654247,17265986.789766047,32456079.263654243,11498674.482264169 
 06/15  21:00:00,,,35281023.553807646,18389183.05925711,35281023.553807646,9306254.72121832 
 06/15  22:00:00,,,29319852.559852295,15238279.907154456,29319852.55985229,5994102.126629801 
 06/15  23:00:00,,,30882204.766166076,17150120.057866313,30882204.766166065,5216136.118268191 
 06/15  24:00:00,,,24052551.402946383,12672171.062015373,24052551.402946375,5053921.215573011 
 06/16  01:00:00,,,20061902.353269838,12056845.847863462,20061902.353269838,2792810.4248463674 
 06/16  02:00:00,,,19548114.22831609,12066163.80388038,19548114.22831609,2255536.75972505 
 06/16  03:00:00,,,20211090.261852726,11956057.28042778,20211090.261852726,2984274.8924273006 
 06/16  04:00:00,,,22035785.194578685,12286376.850785581,22035785.194578685,2480575.8205451574 
 06/16  05:00:00,,,24444329.711978402,13568380.375294976,24444329.71197839,5742879.668790149 
 06/16  06:00:00,,,23506646.679939497,14307354.144025315,23506646.679939497,5211764.770598579 
 06/16  07:00:00,,,23067463.172000833,14528417.759944461,23067463.172000833,5282501.749580254 
