Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 03/16  16:00:00,,,29034827.34500713,17509871.17651664,29034827.34500712,8252577.063264681 
 03/16  17:00:00,,,29356546.76247754,17509871.17651664,29356546.762477532,8570026.506914835 
 03/16  18:00:00,,,28583378.070222013,17288807.560597498,28583378.070222013,8023008.6170065245 
 03/16  19:00:00,,,33121523.200962417,18402633.66309105,33121523.200962417,7754885.276886378 
 03/16  20:00:00,,,34876361.89574602,18682544.140628308,34876361.89574602,7600508.719632678 
 03/16  21:00:00,,,33420051.695313647,18461480.524709165,33420051.695313644,6596992.76150798 
 03/16  22:00:00,,,28321989.056219283,15238279.907154456,28321989.056219276,5050306.86438825 
 03/16  23:00:00,,,30723560.15835692,17150120.057866313,30723560.158356916,5104185.672744333 
 03/16  24:00:00,,,23796264.145177417,12672171.062015373,23796264.145177417,4819489.676802 
 03/17  01:00:00,,,20496174.416933157,12056845.847863462,20496174.416933153,3256869.318018696 
 03/17  02:00:00,,,19883424.38307061,12066163.80388038,19883424.38307061,2613884.3451395594 
 03/17  03:00:00,,,20864303.609966904,11956057.28042778,20864303.609966904,3664528.889674748 
 03/17  04:00:00,,,22979002.52475796,12286376.850785581,22979002.52475796,3461733.761755381 
 03/17  05:00:00,,,26039284.895970643,13754174.505834779,26039284.89597064,5418889.487156989 
 03/17  06:00:00,,,29017756.546670515,15123303.552513106,29017756.54667051,4982302.52653673 
 03/17  07:00:00,,,25750948.522350717,14960180.005569,25750948.52235071,5116331.71362389 
 03/17  08:00:00,,,23853488.208096452,15566238.592361167,23853488.208096452,5042472.452218356 
 03/17  09:00:00,,,24094278.442833636,15897834.016239883,24094278.442833636,4878852.230654535 
 03/17  10:00:00,,,27641747.776222937,17509871.17651664,27641747.776222933,6746557.123396041 
 03/17  11:00:00,,,36997627.48589005,21530704.771823928,36997627.48589005,11789047.424131064 
 03/17  12:00:00,,,34438580.05181684,17620402.984476212,34438580.051816836,12815910.010194479 
 03/17  13:00:00,,,34656739.83913879,17399339.36855707,34656739.83913879,13824111.826014418 
 03/17  14:00:00,,,34729064.11492449,17178275.752637926,34729064.11492449,14110287.927724926 
 03/17  15:00:00,,,33293502.5946744,17178275.752637926,33293502.594674397,12689926.898953497 
 03/17  16:00:00,,,33138620.21432332,17509871.17651664,33138620.214323312,12311109.459600877 
 03/17  17:00:00,,,32998351.910505258,17509871.17651664,32998351.910505258,12168930.531292047 
 03/17  18:00:00,,,32230863.765923265,17288807.560597498,32230863.765923258,11624244.20075474 
 03/17  19:00:00,,,35634050.593657196,18353005.593741838,35634050.5936572,10675570.225094631 
 03/17  20:00:00,,,37843879.62257735,18682544.140628308,37843879.62257735,10906601.207459955 
 03/17  21:00:00,,,37205689.7793137,18461480.524709165,37205689.77931369,10637233.011332337 
 03/17  22:00:00,,,32914680.897662845,15238279.907154456,32914680.897662837,9605372.863139313 
 03/17  23:00:00,,,34423575.08068472,17150120.057866313,34423575.08068472,8741957.700065477 
 03/17  24:00:00,,,26462404.41914762,12966390.651958099,26462404.419147614,7086905.190890694 
 03/18  01:00:00,,,23690410.261161685,12056845.847863462,23690410.261161685,6430320.7385008335 
 03/18  02:00:00,,,23209084.508359786,12066163.80388038,23209084.508359786,5940203.465853969 
 03/18  03:00:00,,,23502911.949464384,11956057.28042778,23502911.94946438,6291057.139024557 
 03/18  04:00:00,,,24069057.417983435,12286376.850785581,24069057.417983435,6155743.37105149 
 03/18  05:00:00,,,26605078.92595174,13057122.514953779,26605078.92595174,7918714.683206211 
 03/18  06:00:00,,,30756392.07571268,14334611.806527387,30756392.075712685,7985703.465819968 
 03/18  07:00:00,,,29500335.067299794,14516846.633206679,29500335.06729979,9132023.265845576 
 03/18  08:00:00,,,29905677.875172917,15566238.592361167,29905677.875172913,10925151.467109568 
 03/18  09:00:00,,,31931647.323788427,15897834.016239883,31931647.323788423,12600048.591410134 
 03/18  10:00:00,,,34489842.51172746,17156754.94215895,34489842.51172746,13897841.336661035 
 03/18  11:00:00,,,43346961.63545268,21177588.53746624,43346961.63545267,18464034.197042685 
 03/18  12:00:00,,,41015918.17291083,17267286.75011852,41015918.172910824,19750697.71235367 
 03/18  13:00:00,,,42227432.300352074,17046223.134199377,42227432.30035207,21730419.812203705 
 03/18  14:00:00,,,44092399.05545366,16825159.518280234,44092399.05545366,23802426.645382736 
 03/18  15:00:00,,,43221392.01400544,16825159.518280234,43221392.01400543,22940537.407931235 
 03/18  16:00:00,,,45832799.096312396,17156754.94215895,45832799.09631239,25333891.827159405 
 03/18  17:00:00,,,48003603.01694912,17509871.17651664,48003603.01694911,27139630.86456587 
