Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/10  04:00:00,,,15783747.29697952,6983474.7260773815,15783747.296979517,3578211.887262124 
 01/10  05:00:00,,,17742252.572247777,7168248.4649095815,17742252.572247777,3299501.6584703512 
 01/10  06:00:00,,,23345408.718412008,9083383.954041366,23345408.718412008,7565754.320805729 
 01/10  07:00:00,,,28083982.89860716,11508654.536435734,28083982.898607153,7751850.791149326 
 01/10  08:00:00,,,26778955.99666525,11373244.435306778,26778955.996665247,8151861.650672133 
 01/10  09:00:00,,,22635994.46799719,11547384.024277005,22635994.467997186,7934637.586336264 
 01/10  10:00:00,,,22558500.807991885,11732871.448420087,22558500.80799188,7656229.341641976 
 01/10  11:00:00,,,24183726.93845022,13968084.497671723,24183726.938450217,7037778.914461978 
 01/10  12:00:00,,,28439689.80638001,17842810.093243375,28439689.806380004,7111512.252321357 
 01/10  13:00:00,,,25033044.060424637,14029913.639052752,25033044.060424633,7263692.623571812 
 01/10  14:00:00,,,24146402.40674727,13906255.356290694,24146402.406747267,7039056.142282108 
 01/10  15:00:00,,,23652111.43650116,13782597.073528638,23652111.43650116,6660050.853285487 
 01/10  16:00:00,,,23477925.884511117,13782597.073528638,23477925.884511117,6498991.615893948 
 01/10  17:00:00,,,25899161.52941829,15321130.074614014,25899161.52941829,6674000.368655739 
 01/10  18:00:00,,,32457786.059209954,17465465.088949222,32457786.05920995,6967997.863840233 
 01/10  19:00:00,,,32709139.989589825,17341806.806187164,32709139.989589818,7347302.000367216 
 01/10  20:00:00,,,32476184.395475123,17218148.52342511,32476184.395475123,7239518.410245167 
 01/10  21:00:00,,,32167835.789325196,17094490.24066305,32167835.789325196,7054514.1091188695 
 01/10  22:00:00,,,31601077.01981216,16970831.957900997,31601077.01981215,6739388.7918556575 
 01/10  23:00:00,,,26738437.98708408,12291944.313823648,26738437.987084076,6590337.218876971 
 01/10  24:00:00,,,28268473.011344265,13548994.951142002,28268473.01134426,6391616.76098571 
 01/11  01:00:00,,,20677515.512011882,8360778.508785401,20677515.51201188,6145709.272591997 
 01/11  02:00:00,,,13797500.200335626,7202641.201264004,13797500.200335626,1424059.2817773367 
 01/11  03:00:00,,,14197724.583425362,7045065.972354781,14197724.583425362,1936544.4850098009 
 01/11  04:00:00,,,13866334.511555107,6983474.7260773815,13866334.511555104,1648796.2820972232 
 01/11  05:00:00,,,14803847.682517936,7168248.4649095815,14803847.682517936,1995442.8201031503 
 01/11  06:00:00,,,20498551.58630685,9083383.954041366,20498551.586306848,6032161.121439855 
 01/11  07:00:00,,,25795390.288382053,11508654.536435734,25795390.28838205,6072609.470852671 
 01/11  08:00:00,,,25134983.447540037,11564194.659019714,25134983.44754003,6293463.290540884 
 01/11  09:00:00,,,21879031.4379207,12470310.420835448,21879031.4379207,6220038.528077185 
 01/11  10:00:00,,,21065705.180565685,11732871.448420087,21065705.180565685,6114602.374744096 
 01/11  11:00:00,,,23081955.068809524,13968084.497671723,23081955.068809524,5873062.349958618 
 01/11  12:00:00,,,27246468.207155403,17842810.093243375,27246468.207155395,5859677.16282374 
 01/11  13:00:00,,,23816465.612355273,14029913.639052752,23816465.612355266,5979132.823918952 
 01/11  14:00:00,,,23042011.461688753,13906255.356290694,23042011.461688753,5858890.741044483 
 01/11  15:00:00,,,22746838.11345499,13782597.073528638,22746838.113454986,5662629.737738155 
 01/11  16:00:00,,,22615308.747330155,13782597.073528638,22615308.74733015,5553879.378481027 
 01/11  17:00:00,,,24614999.98710662,15043051.607954143,24614999.98710662,5597906.676504193 
 01/11  18:00:00,,,31245024.497728977,17465465.088949222,31245024.49772897,5683327.930679622 
 01/11  19:00:00,,,31569748.741638582,17341806.806187164,31569748.74163857,6140397.09089538 
 01/11  20:00:00,,,32250284.735871352,17218148.52342511,32250284.735871345,6581731.447747687 
 01/11  21:00:00,,,32282327.09207441,17094490.24066305,32282327.092074405,6781730.713756174 
 01/11  22:00:00,,,31829964.329900656,16970831.957900997,31829964.329900656,6681547.621893141 
 01/11  23:00:00,,,26820744.740123205,12291944.313823648,26820744.740123197,6668269.883699186 
 01/11  24:00:00,,,28596764.082981594,13548994.951142002,28596764.082981586,6717268.182933116 
 01/12  01:00:00,,,21158790.36128085,8360778.508785401,21158790.36128085,6636866.648214854 
 01/12  02:00:00,,,14966467.361852046,7202641.201264004,14966467.361852046,2616308.9983746144 
 01/12  03:00:00,,,14627343.874368161,7045065.972354781,14627343.874368161,2377401.625763508 
 01/12  04:00:00,,,15173963.891263742,6983474.7260773815,15173963.891263742,2971752.032204385 
 01/12  05:00:00,,,16102988.30557044,7168248.4649095815,16102988.30557044,3306359.757327236 
 01/12  06:00:00,,,21595296.329061326,9083383.954041366,21595296.329061326,7132331.959888708 
 01/12  07:00:00,,,27053943.80420856,11508654.536435734,27053943.80420856,7343863.685432829 
 01/12  08:00:00,,,26554167.563772175,11373244.435306778,26554167.563772175,7927057.212495344 
 01/12  09:00:00,,,22721695.339540966,11547384.024277005,22721695.339540966,8021944.62982914 
 01/12  10:00:00,,,22864934.074334215,11732871.448420087,22864934.07433421,7964649.121086523 
 01/12  11:00:00,,,24598177.92099225,13968084.497671723,24598177.920992255,7453757.69079563 
 01/12  12:00:00,,,28985084.25287644,17842810.093243375,28985084.252876434,7664132.0115775345 
 01/12  13:00:00,,,25676930.96221132,14029913.639052752,25676930.962211315,7924178.2996164495 
 01/12  14:00:00,,,24743861.03367024,13906255.356290694,24743861.03367024,7644247.680524507 
 01/12  15:00:00,,,24105387.91666484,13782597.073528638,24105387.91666484,7115294.278949333 
 01/12  16:00:00,,,23875711.612845294,13782597.073528638,23875711.612845294,6899958.61360205 
 01/12  17:00:00,,,25692588.121789057,14631427.144624136,25692588.121789053,7162308.3725522775 
