Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/04  18:00:00,,,34332789.85972687,18011814.403654855,34332789.85972687,8390904.669335674 
 01/04  19:00:00,,,34181324.10667017,17811905.909638084,34181324.10667016,8440035.430568088 
 01/04  20:00:00,,,34395514.52099443,17611997.415621314,34395514.52099443,8472802.570644923 
 01/04  21:00:00,,,34160656.959041,17412088.921604548,34160656.95904099,8462474.423371637 
 01/04  22:00:00,,,33794964.83965232,17212180.42758778,33794964.839652315,8499016.940662958 
 01/04  23:00:00,,,30439996.969477195,14084177.858593762,30439996.96947719,8578721.008717425 
 01/04  24:00:00,,,32932945.12757283,16059483.37501275,32932945.12757283,8617919.512652136 
 01/05  01:00:00,,,26368222.05352571,11581534.379161809,26368222.05352571,8700371.724058565 
 01/05  02:00:00,,,18290169.70797292,10976868.122852663,18290169.70797292,2357598.988349875 
 01/05  03:00:00,,,17840001.435540948,10975649.216364183,17840001.435540948,1886079.1906798999 
 01/05  04:00:00,,,18220102.486299906,10876079.555416983,18220102.486299906,2357598.988349875 
 01/05  05:00:00,,,18471091.762614824,11174788.538258582,18471091.762614824,1886079.1906798999 
 01/05  06:00:00,,,26614417.22101803,12568339.774420526,26614417.221018024,8772705.505450986 
 01/05  07:00:00,,,30813627.971882395,13926891.260147657,30813627.97188239,8767603.97181421 
 01/05  08:00:00,,,30874146.381665945,14126799.75416443,30874146.381665938,8752948.360506624 
 01/05  09:00:00,,,27407841.29689103,14767955.01769985,27407841.296891026,8746669.455155523 
 01/05  10:00:00,,,26405844.515694894,14616801.236264933,26405844.51569488,8703521.872914739 
 01/05  11:00:00,,,27878105.530588254,16175950.591785753,27878105.530588254,8608386.716911152 
 01/05  12:00:00,,,31953256.707527854,20165051.504239477,31953256.70752785,8381791.479293348 
 01/05  13:00:00,,,28252224.308837354,16275904.838794136,28252224.30883735,8350739.743127003 
 01/05  14:00:00,,,27436283.770255305,16075996.34477737,27436283.7702553,8250741.627640939 
 01/05  15:00:00,,,27196443.102991514,15876087.850760601,27196443.102991506,8194985.104810152 
 01/05  16:00:00,,,27275487.61445852,15876087.850760601,27275487.61445851,8289884.663983423 
 01/05  17:00:00,,,32233819.635318954,17599283.200232085,32233819.635318954,8351165.641213131 
 01/05  18:00:00,,,34343567.90165637,18011814.403654855,34343567.90165636,8401606.525734618 
 01/05  19:00:00,,,34191126.286543354,17811905.909638084,34191126.286543354,8449808.949370628 
 01/05  20:00:00,,,34388399.19335442,17611997.415621314,34388399.19335441,8465581.056204893 
 01/05  21:00:00,,,34156699.50576148,17412088.921604548,34156699.505761474,8458483.233563948 
 01/05  22:00:00,,,33841112.451026365,17212180.42758778,33841112.45102636,8545166.908256825 
