Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/07  10:00:00,,,5325035.6500713,36763553.44696204 
 01/07  11:00:00,,,5325035.6500713,36763553.44696204 
 01/07  12:00:00,,,5325035.6500713,36763553.44696204 
 01/07  13:00:00,,,5325035.6500713,36763553.44696204 
 01/07  14:00:00,,,5325035.6500713,36763553.44696204 
 01/07  15:00:00,,,5325035.6500713,36763553.44696204 
 01/07  16:00:00,,,5325035.6500713,36763553.44696204 
 01/07  17:00:00,,,5325035.6500713,36763553.44696204 
 01/07  18:00:00,,,5325035.6500713,36763553.44696204 
 01/07  19:00:00,,,5325035.6500713,36763553.44696204 
 01/07  20:00:00,,,5325035.6500713,36763553.44696204 
 01/07  21:00:00,,,5325035.6500713,36763553.44696204 
 01/07  22:00:00,,,5325035.6500713,36763553.44696204 
 01/07  23:00:00,,,5325035.6500713,36763553.44696204 
 01/07  24:00:00,,,5325035.6500713,36763553.44696204 
 01/08  01:00:00,,,5325035.6500713,36763553.44696204 
 01/08  02:00:00,,,5325035.6500713,36763553.44696204 
 01/08  03:00:00,,,5325035.6500713,36763553.44696204 
 01/08  04:00:00,,,5325035.6500713,36763553.44696204 
 01/08  05:00:00,,,5325035.6500713,36763553.44696204 
 01/08  06:00:00,,,5325035.6500713,36763553.44696204 
 01/08  07:00:00,,,5325035.6500713,36763553.44696204 
 01/08  08:00:00,,,5325035.6500713,36763553.44696204 
 01/08  09:00:00,,,5325035.6500713,36763553.44696204 
 01/08  10:00:00,,,5325035.6500713,36763553.44696204 
 01/08  11:00:00,,,5325035.6500713,36763553.44696204 
 01/08  12:00:00,,,5325035.6500713,36763553.44696204 
 01/08  13:00:00,,,5325035.6500713,36763553.44696204 
 01/08  14:00:00,,,5325035.6500713,36763553.44696204 
 01/08  15:00:00,,,5325035.6500713,36763553.44696204 
 01/08  16:00:00,,,5325035.6500713,36763553.44696204 
 01/08  17:00:00,,,5325035.6500713,36763553.44696204 
 01/08  18:00:00,,,5325035.6500713,36763553.44696204 
 01/08  19:00:00,,,5325035.6500713,36763553.44696204 
 01/08  20:00:00,,,5325035.6500713,36763553.44696204 
 01/08  21:00:00,,,5325035.6500713,36763553.44696204 
 01/08  22:00:00,,,5325035.6500713,36763553.44696204 
 01/08  23:00:00,,,5325035.6500713,36763553.44696204 
 01/08  24:00:00,,,5325035.6500713,36763553.44696204 
 01/09  01:00:00,,,5325035.6500713,36763553.44696204 
 01/09  02:00:00,,,5325035.6500713,36763553.44696204 
 01/09  03:00:00,,,5325035.6500713,36763553.44696204 
 01/09  04:00:00,,,5325035.6500713,36763553.44696204 
 01/09  05:00:00,,,5325035.6500713,36763553.44696204 
 01/09  06:00:00,,,5325035.6500713,36763553.44696204 
 01/09  07:00:00,,,5325035.6500713,36763553.44696204 
 01/09  08:00:00,,,5325035.6500713,36763553.44696204 
 01/09  09:00:00,,,104917216.8374353,104647718.22248563 
 01/09  10:00:00,,,109315027.2032781,104647718.22248563 
 01/09  11:00:00,,,108212170.65160535,105482342.22248563 
 01/09  12:00:00,,,107736243.75588,105482342.22248563 
 01/09  13:00:00,,,107979221.78301771,105482342.22248563 
 01/09  14:00:00,,,109128099.27013935,104647718.22248563 
 01/09  15:00:00,,,112070157.73994869,104647718.22248563 
 01/09  16:00:00,,,118299974.53849086,104230406.22248563 
 01/09  17:00:00,,,149567977.802814,104230406.22248563 
 01/09  18:00:00,,,157832836.52400002,42594804.8188105 
 01/09  19:00:00,,,157832836.52400002,42594804.8188105 
 01/09  20:00:00,,,157832836.52400002,42594804.8188105 
 01/09  21:00:00,,,149956524.4308758,42594804.8188105 
 01/09  22:00:00,,,9342084.973767914,36763553.44696204 
 01/09  23:00:00,,,5325035.6500713,36763553.44696204 
