Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/10  04:00:00,,,5325035.6500713,35231738.720005296 
 01/10  05:00:00,,,5325035.6500713,35231738.720005296 
 01/10  06:00:00,,,5325035.6500713,35231738.720005296 
 01/10  07:00:00,,,5325035.6500713,35231738.720005296 
 01/10  08:00:00,,,5325035.6500713,35231738.720005296 
 01/10  09:00:00,,,55260042.96461831,100287396.62988208 
 01/10  10:00:00,,,63877631.20197647,100287396.62988208 
 01/10  11:00:00,,,62396489.53043999,101087244.62988208 
 01/10  12:00:00,,,63494907.31331746,101087244.62988208 
 01/10  13:00:00,,,65092708.07810109,101087244.62988208 
 01/10  14:00:00,,,64523478.64666439,100287396.62988208 
 01/10  15:00:00,,,66034457.12846169,100287396.62988208 
 01/10  16:00:00,,,67265918.67730534,99887472.62988208 
 01/10  17:00:00,,,70679676.25216538,99887472.62988208 
 01/10  18:00:00,,,97932076.71013106,40820021.28469339 
 01/10  19:00:00,,,107990888.14799999,40820021.28469339 
 01/10  20:00:00,,,107990888.14799999,40820021.28469339 
 01/10  21:00:00,,,102666076.0548758,40820021.28469339 
 01/10  22:00:00,,,7806126.757767913,35231738.720005296 
 01/10  23:00:00,,,5325035.6500713,35231738.720005296 
 01/10  24:00:00,,,5325035.6500713,35231738.720005296 
 01/11  01:00:00,,,5325035.6500713,35231738.720005296 
 01/11  02:00:00,,,5325035.6500713,35231738.720005296 
 01/11  03:00:00,,,5325035.6500713,35231738.720005296 
 01/11  04:00:00,,,5325035.6500713,35231738.720005296 
 01/11  05:00:00,,,5325035.6500713,35231738.720005296 
 01/11  06:00:00,,,5325035.6500713,35231738.720005296 
 01/11  07:00:00,,,5325035.6500713,35231738.720005296 
 01/11  08:00:00,,,5325035.6500713,35231738.720005296 
 01/11  09:00:00,,,57219667.27467089,100287396.62988208 
 01/11  10:00:00,,,64888963.81513832,100287396.62988208 
 01/11  11:00:00,,,64456933.54786173,101087244.62988208 
 01/11  12:00:00,,,62941549.4023122,101087244.62988208 
