Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 02/24  15:00:00,,,57090546.26823993,15876087.850760601,57090546.26823993,37706836.18162428 
 02/24  16:00:00,,,53411251.75864551,15876087.850760601,53411251.75864551,34034497.93058789 
 02/24  17:00:00,,,51943064.83977295,16175950.591785753,51943064.839772955,32385005.533238903 
 02/24  18:00:00,,,50810716.450028844,16175950.591785753,50810716.450028844,31250976.251454853 
 02/24  19:00:00,,,52778559.90585375,17565187.17096291,52778559.90585375,27712387.25145725 
 02/24  20:00:00,,,49315015.77356903,17611997.415621314,49315015.77356903,23381920.67846474 
 02/24  21:00:00,,,49847502.7807176,17412088.921604548,49847502.7807176,24117926.10058678 
 02/24  22:00:00,,,47933706.52865287,17212180.42758778,47933706.52865286,22553698.73434057 
 02/24  23:00:00,,,41785266.795736566,14084177.858593762,41785266.795736566,19569485.730430093 
 02/24  24:00:00,,,43340901.90465334,16059483.37501275,43340901.90465333,18693754.885779593 
 02/25  01:00:00,,,34793990.11011677,11875753.96910454,34793990.11011677,16450399.336689249 
 02/25  02:00:00,,,33385254.79313583,10976868.122852663,33385254.79313583,17124992.251680415 
 02/25  03:00:00,,,32715845.349099096,10975649.216364183,32715845.349099092,16483079.711851295 
 02/25  04:00:00,,,31893439.900498822,10876079.555416983,31893439.900498822,15695634.811410218 
 02/25  05:00:00,,,30360893.880333222,11174788.538258582,30360893.88033322,13519497.103561971 
 02/25  06:00:00,,,34388649.76869449,11871776.164888982,34388649.76869448,16824017.152871605 
 02/25  07:00:00,,,38732451.65785056,13138199.51416194,38732451.65785056,17926308.365732912 
 02/25  08:00:00,,,37459984.33936207,13082015.163535936,37459984.33936206,20938025.392302893 
 02/25  09:00:00,,,42429141.74820105,14316938.495239781,42429141.74820104,24642021.213707075 
 02/25  10:00:00,,,46254316.43574152,14616801.236264933,46254316.435741514,28153528.418839704 
 02/25  11:00:00,,,49193997.6396737,15822834.357428063,49193997.639673695,29886633.10825461 
 02/25  12:00:00,,,61526194.7694367,19811935.269881785,61526194.76943669,37953228.43136176 
 02/25  13:00:00,,,60813931.07701714,15922788.604436446,60813931.07701714,40821486.08441275 
 02/25  14:00:00,,,60816881.131281756,15722880.11041968,60816881.13128174,41605559.53204011 
