tag,building,climate,source,format,model,seed,round_trip_ok,energyplus_ok,duration_s
RestaurantFastFood_1A_F4_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,80.2
RestaurantFastFood_1A_F4_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,82.4
RestaurantFastFood_1A_F4_llama-3.3-70b-versatile_seed1542799871,RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,80.6
RestaurantFastFood_1A_F4_gpt-oss-120b_seed1542799867,RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,92.2
RestaurantFastFood_1A_F4_gpt-oss-120b_seed1542799868,RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,107.4
RestaurantFastFood_1A_F4_gpt-oss-120b_seed1542799869,RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,105.6
RestaurantFastFood_1A_F4_gpt-oss-120b_seed1542799870,RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,98.6
RestaurantFastFood_1A_F4_gpt-oss-120b_seed1542799871,RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,93.8
RetailStripmall_1A_F4_llama-3.3-70b-versatile_seed1542799867,RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,138.3
RetailStripmall_1A_F4_llama-3.3-70b-versatile_seed1542799868,RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,146.8
RetailStripmall_1A_F4_llama-3.3-70b-versatile_seed1542799869,RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,114.8
RetailStripmall_1A_F4_llama-3.3-70b-versatile_seed1542799870,RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,137.7
RetailStripmall_1A_F4_llama-3.3-70b-versatile_seed1542799871,RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,158.3
RetailStripmall_1A_F4_gpt-oss-120b_seed1542799867,RetailStripmall,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,119.2
RetailStripmall_1A_F4_gpt-oss-120b_seed1542799868,RetailStripmall,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,120.2
RetailStripmall_1A_F4_gpt-oss-120b_seed1542799869,RetailStripmall,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,119.7
RetailStripmall_1A_F4_gpt-oss-120b_seed1542799870,RetailStripmall,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,115.3
RetailStripmall_1A_F4_gpt-oss-120b_seed1542799871,RetailStripmall,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,117.1
SchoolPrimary_1A_F4_llama-3.3-70b-versatile_seed1542799867,SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,378.2
SchoolPrimary_1A_F4_llama-3.3-70b-versatile_seed1542799868,SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,382.1
SchoolPrimary_1A_F4_llama-3.3-70b-versatile_seed1542799869,SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,400.2
SchoolPrimary_1A_F4_llama-3.3-70b-versatile_seed1542799870,SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,401.5
SchoolPrimary_1A_F4_llama-3.3-70b-versatile_seed1542799871,SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,399.8
SchoolPrimary_1A_F4_gpt-oss-120b_seed1542799867,SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,407.2
SchoolPrimary_1A_F4_gpt-oss-120b_seed1542799868,SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,417.2
SchoolPrimary_1A_F4_gpt-oss-120b_seed1542799869,SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,409.7
SchoolPrimary_1A_F4_gpt-oss-120b_seed1542799870,SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,429.5
SchoolPrimary_1A_F4_gpt-oss-120b_seed1542799871,SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,389.2
OfficeMedium_1A_lobo_median_loo,OfficeMedium,1A,lobo_median_loo,,,,True,True,137.2
OfficeMedium_1A_global_constant,OfficeMedium,1A,global_constant,,,,True,True,137.8
SchoolPrimary_1A_lobo_median_loo,SchoolPrimary,1A,lobo_median_loo,,,,True,True,405.1
SchoolPrimary_1A_global_constant,SchoolPrimary,1A,global_constant,,,,True,True,474.8
RetailStripmall_1A_lobo_median_loo,RetailStripmall,1A,lobo_median_loo,,,,True,True,125.0
RetailStripmall_1A_global_constant,RetailStripmall,1A,global_constant,,,,True,True,123.0
ApartmentMidRise_1A_lobo_median_loo,ApartmentMidRise,1A,lobo_median_loo,,,,True,True,611.3
RestaurantFastFood_1A_lobo_median_loo,RestaurantFastFood,1A,lobo_median_loo,,,,True,True,85.1
ApartmentMidRise_1A_global_constant,ApartmentMidRise,1A,global_constant,,,,True,True,613.2
RestaurantFastFood_1A_global_constant,RestaurantFastFood,1A,global_constant,,,,True,True,58.7
