Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/04  21:00:00,,,34494196.52626261,18766451.131941393,34494196.526262596,7439059.435092611 
 01/04  22:00:00,,,34134588.63848463,18599346.238589868,34134588.63848463,7449164.200951989 
 01/04  23:00:00,,,29396461.202297032,14141476.56222611,29396461.202297024,7476560.07327691 
 01/04  24:00:00,,,31168365.384485874,15476451.225459158,31168365.384485867,7436371.91911877 
 01/05  01:00:00,,,23561089.146357354,10444435.60388608,23561089.14635735,7032019.339972921 
 01/05  02:00:00,,,17539056.579583313,9394575.175631016,17539056.579583313,3053776.3884402458 
 01/05  03:00:00,,,18034117.332008697,9284673.139101181,18034117.332008697,3597051.942854798 
 01/05  04:00:00,,,18106275.70516863,9201442.170574982,18106275.705168627,3764375.268435859 
 01/05  05:00:00,,,18620051.059356432,9451135.076153582,18620051.05935643,3601751.656704045 
 01/05  06:00:00,,,23666562.31171282,11345193.523640286,23666562.31171282,7031112.307009473 
 01/05  07:00:00,,,28933587.09978369,13549211.934858698,28933587.09978368,7263923.652520479 
 01/05  08:00:00,,,28262808.726591934,13569700.23492514,28262808.726591926,7519482.494064478 
 01/05  09:00:00,,,24341653.785955235,13787086.733507777,24341653.78595523,7481999.863908369 
 01/05  10:00:00,,,24530874.85812339,13982554.451431494,24530874.858123384,7459799.835069122 
 01/05  11:00:00,,,26323418.769350298,16135783.192941498,26323418.769350294,7090328.371597441 
 01/05  12:00:00,,,30708722.593065515,20075678.704397365,30708722.593065515,7213204.435644395 
 01/05  13:00:00,,,27066637.17312535,16219335.639617264,27066637.17312534,7199939.446444338 
 01/05  14:00:00,,,26332576.196025513,16052230.746265737,26332576.196025506,7162955.632619224 
 01/05  15:00:00,,,26023701.245173648,15885125.852914209,26023701.245173644,7008725.357033039 
 01/05  16:00:00,,,25826625.161930718,15885125.852914209,25826625.161930714,6828395.546055379 
 01/05  17:00:00,,,29021165.77012085,17247263.356391896,29021165.77012085,7132406.256132363 
 01/05  18:00:00,,,34577755.63979334,19267765.81199598,34577755.63979333,7375332.553799435 
 01/05  19:00:00,,,34464784.825610526,19100660.91864445,34464784.82561052,7431777.192338033 
 01/05  20:00:00,,,34714638.71088546,18933556.02529292,34714638.71088545,7466965.148342185 
 01/05  21:00:00,,,34484144.39065082,18766451.131941393,34484144.39065081,7428864.8356652595 
 01/05  22:00:00,,,34143776.287853666,18599346.238589868,34143776.28785366,7459101.872630901 
 01/05  23:00:00,,,29467304.115679964,14141476.56222611,29467304.115679964,7547467.280879283 
 01/05  24:00:00,,,31347337.40110486,15476451.225459158,31347337.401104853,7615343.935737755 
 01/06  01:00:00,,,23844789.917712413,10444435.60388608,23844789.917712405,7316171.780463404 
 01/06  02:00:00,,,17699371.899934065,9394575.175631016,17699371.89993406,3208748.821131997 
