Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/06  09:00:00,,,26104491.21163496,12432772.661674276,26104491.211634956,9859467.291446378 
 01/06  10:00:00,,,24989783.518999763,12224160.776821954,24989783.518999767,9761040.987958366 
 01/06  11:00:00,,,26247049.39035591,13730243.500666313,26247049.39035591,9504092.401749732 
 01/06  12:00:00,,,30188887.343543667,17657607.33183296,30188887.343543664,9195381.536365965 
 01/06  13:00:00,,,26431987.329948973,13809618.720579004,26431987.329948973,9091421.416307118 
 01/06  14:00:00,,,25606571.54085599,13650868.28075362,25606571.540855985,8926400.610604867 
 01/06  15:00:00,,,25417518.91248343,13492117.840928236,25417518.91248343,8878772.348248793 
 01/06  16:00:00,,,25374706.817228694,13492117.840928236,25374706.817228694,8853707.758466437 
 01/06  17:00:00,,,30401537.491662428,15185040.802152239,30401537.491662428,9014016.985651875 
 01/06  18:00:00,,,32576993.199859124,15661632.782416573,32576993.199859124,9066037.52164589 
 01/06  19:00:00,,,32440173.60959784,15502882.342591189,32440173.609597836,9088560.402253887 
 01/06  20:00:00,,,32281599.39716749,15344131.902765805,32281599.397167485,9089423.799666591 
 01/06  21:00:00,,,32079501.68199901,15185381.46294042,32079501.681999005,9046254.1509732 
 01/06  22:00:00,,,31847080.743043933,15026631.023115035,31847080.743043933,9087992.248626765 
 01/06  23:00:00,,,28837613.224387113,11974947.452393651,28837613.2243871,9161488.69702611 
 01/06  24:00:00,,,31413929.98452759,14019281.008592492,31413929.984527588,9211239.27137656 
 01/07  01:00:00,,,24656959.53868608,9808328.541287128,24656959.538686078,8841544.05818925 
 01/07  02:00:00,,,16718148.47974915,8882538.32216103,16718148.479749149,2884953.5077648154 
 01/07  03:00:00,,,16270215.4404476,8854013.675968384,16270215.440447599,2409705.9461608664 
 01/07  04:00:00,,,16798103.773115706,8774943.861819783,16798103.773115706,3012132.4327010834 
 01/07  05:00:00,,,16859181.034515776,9012153.304265583,16859181.034515772,2409705.9461608664 
 01/07  06:00:00,,,23360601.01519034,9565642.003305783,23360601.015190337,8580030.127364796 
