Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 09/28  16:00:00,,,77476654.18201487,46487142.69372765,77476654.18201485,27595185.649238158 
 09/28  17:00:00,,,73560756.8913198,46487142.69372765,73560756.8913198,23678593.713767875 
 09/28  18:00:00,,,72007282.3215418,46627234.91862577,72007282.3215418,21167293.5593219 
 09/28  19:00:00,,,75819249.66466412,47036820.72000567,75819249.6646641,20047380.895701222 
 09/28  20:00:00,,,74663120.40288793,46357971.02564259,74663120.40288791,19595890.974711735 
 09/28  21:00:00,,,71944162.35096398,45679121.33127951,71944162.35096398,17789760.286842003 
 09/28  22:00:00,,,63702302.65031324,40314362.936433986,63702302.650313236,15239545.56920155 
 09/28  23:00:00,,,62166411.67011072,40812084.63966748,62166411.67011071,12750058.625666209 
 09/28  24:00:00,,,52419285.937732354,36303564.91174891,52419285.93773233,9630256.696669219 
 09/29  01:00:00,,,49682362.55153409,35432109.66098354,49682362.55153408,8893203.103635404 
 09/29  02:00:00,,,48136603.025618225,35664344.84054358,48136603.02561822,7107815.802869124 
 09/29  03:00:00,,,49880977.70835584,35326225.971536584,49880977.70835584,9091792.118733874 
 09/29  04:00:00,,,56735670.00683689,36340582.57855758,56735670.00683689,13002821.072051972 
 09/29  05:00:00,,,60966361.952128366,39449002.77488339,60966361.95212835,14380588.42203361 
 09/29  06:00:00,,,61734107.07227492,41094578.63260723,61734107.072274916,11471426.574078059 
 09/29  07:00:00,,,56065757.324403144,41443166.70073606,56065757.32440313,10339973.933446025 
 09/29  08:00:00,,,58261687.7950788,42675062.48967143,58261687.795078784,12112039.239290837 
 09/29  09:00:00,,,60652245.964880556,43693337.031216055,60652245.964880526,13466261.38936981 
 09/29  10:00:00,,,65139647.16397129,46487142.69372765,65139647.16397129,15149052.171312463 
 09/29  11:00:00,,,75054885.26371439,51194655.40670085,75054885.26371439,20102264.285018418 
 09/29  12:00:00,,,73352992.63828695,46826567.540909186,73352992.63828695,22437703.03807444 
 09/29  13:00:00,,,73661097.44774501,46147717.84654611,73661097.44774501,23995716.40073222 
