Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 08/13  10:00:00,,,29996292.539986216,18976559.497892346,29996292.539986216,7623546.06534004 
 08/13  11:00:00,,,38382758.972518615,23041784.75819108,38382758.972518615,11669500.348129302 
 08/13  12:00:00,,,35924430.63148183,19101888.52751573,35924430.63148183,12874811.521606296 
 08/13  13:00:00,,,35916784.04431878,18851230.468268957,35916784.04431877,13665183.120169647 
 08/13  14:00:00,,,36345665.10139118,18600572.40902218,36345665.101391174,14337596.811444841 
 08/13  15:00:00,,,37026653.608682305,18600572.40902218,37026653.608682305,15032901.274142224 
 08/13  16:00:00,,,36939160.330451,18579572.960939813,36939160.330451,15089438.877871431 
 08/13  17:00:00,,,36357324.38648805,18579572.960939813,36357324.38648804,14498325.343891695 
 08/13  18:00:00,,,35094739.136214904,18328914.90169304,35094739.1362149,13480501.207834128 
 08/13  19:00:00,,,35017500.305199996,18078256.842446264,35017500.305199996,13250264.322347373 
 08/13  20:00:00,,,38515416.041730024,19007868.231674086,38515416.041730024,12544961.097680623 
 08/13  21:00:00,,,37708725.99813922,18968924.52321715,37708725.99813922,10355829.353974517 
 08/13  22:00:00,,,33672122.848233625,17212042.09661141,33672122.848233625,8378105.582031166 
 08/13  23:00:00,,,33785913.77181977,18891396.855539024,33785913.77181978,6366773.234790942 
 08/13  24:00:00,,,25954864.49909859,14305669.29334745,25954864.499098577,5288883.479190247 
 08/14  01:00:00,,,21980445.698001493,13585617.517379161,21980445.698001493,3164814.919463982 
 08/14  02:00:00,,,21314528.029404256,13591712.666568777,21314528.029404253,2484999.3464652607 
 08/14  03:00:00,,,22108115.320991732,13466865.855553377,22108115.320991732,3355040.8582399753 
 08/14  04:00:00,,,21945641.642975707,13841406.288599579,21945641.642975703,2462278.8136364 
 08/14  05:00:00,,,26681811.954339243,15532824.250617735,26681811.954339243,5643373.631068943 
 08/14  06:00:00,,,25123825.87135046,16508344.6502227,25123825.871350456,5223764.261667173 
 08/14  07:00:00,,,25071417.83663405,16407055.505720034,25071417.836634047,5309545.003479589 
 08/14  08:00:00,,,29408008.70514832,17576940.72395271,29408008.705148317,8412824.836676795 
 08/14  09:00:00,,,33179863.216206357,17952927.812822875,33179863.216206357,11793115.851507133 
 08/14  10:00:00,,,37631379.81936184,19770465.657027278,37631379.81936184,14419083.84799453 
 08/14  11:00:00,,,48474174.07280705,23835690.917326003,48474174.07280705,20933078.244349554 
 08/14  12:00:00,,,48583032.18483158,19895794.68665066,48583032.184831575,24683509.653139375 
 08/14  13:00:00,,,51567701.01439276,19645136.627403885,51567701.01439276,28469078.898174647 
 08/14  14:00:00,,,51761635.64063133,19394478.56815711,51761635.64063133,28902458.1309364 
 08/14  15:00:00,,,49250086.688402526,19394478.56815711,49250086.688402526,26403191.273274407 
 08/14  16:00:00,,,47955003.165701665,19770465.657027278,47955003.16570166,24850058.64843097 
 08/14  17:00:00,,,46475638.79713554,19770465.657027278,46475638.79713554,23372501.75013793 
 08/14  18:00:00,,,44118959.02652751,19519807.5977805,44118959.02652751,21269853.715994775 
 08/14  19:00:00,,,41795408.83313287,19727467.274561483,41795408.83313287,18338169.37463699 
 08/14  20:00:00,,,45766437.7769428,20938696.697927702,45766437.77694279,17831864.609074842 
 08/14  21:00:00,,,46006570.379542224,20855821.832743157,46006570.379542224,16740109.399159722 
 08/14  22:00:00,,,40133708.572749764,17212042.09661141,40133708.572749756,14835918.460648574 
 08/14  23:00:00,,,41183076.324095204,18891396.855539024,41183076.32409519,13745296.237911256 
