Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/06  01:00:00,,,22069426.071412034,9382130.04470057,22069426.07141203,6823927.076636726 
 01/06  02:00:00,,,14627920.544974927,8494172.147170749,14627920.544974927,1193810.053026959 
 01/06  03:00:00,,,14517392.42621406,8406448.159530781,14517392.42621406,1054068.447516567 
 01/06  04:00:00,,,14851136.726486579,8331702.850861384,14851136.726486579,1422324.8651246836 
 01/06  05:00:00,,,19230658.805121697,8555938.776869582,19230658.805121697,3579340.60714358 
 01/06  06:00:00,,,23352531.76736998,10185777.656172892,23352531.767369978,6858008.848914419 
 01/06  07:00:00,,,27696748.26221759,12095087.231322683,27696748.26221759,7107108.544508563 
 01/06  08:00:00,,,26694475.815735966,12045034.593712155,26694475.815735966,7683453.155499816 
 01/06  09:00:00,,,22659610.4837135,12276804.714681553,22659610.4837135,7517915.402824474 
 01/06  10:00:00,,,22553452.978416726,12501906.748003354,22553452.978416726,7169213.620842389 
 01/06  11:00:00,,,23938135.112081606,14388042.757655855,23938135.11208161,6659370.176868856 
 01/06  12:00:00,,,28248756.285535216,18302382.962406233,28248756.285535213,6708691.922799758 
 01/06  13:00:00,,,24760199.839939125,14463076.768763129,24760199.839939125,6895635.67227484 
 01/06  14:00:00,,,23905464.07673534,14313008.746548591,23905464.076735336,6679525.070534635 
 01/06  15:00:00,,,23421047.63023617,14162940.724334054,23421047.630236167,6333593.426158209 
 01/06  16:00:00,,,23279444.093509927,14162940.724334054,23279444.093509924,6203621.081198799 
 01/06  17:00:00,,,26905449.61927814,16052142.484893885,26905449.619278133,6404480.187552576 
 01/06  18:00:00,,,31527140.995246302,17089638.76514193,31527140.99524629,6697362.2054150365 
 01/06  19:00:00,,,31700357.104333136,16939570.7429274,31700357.10433313,7028986.464272906 
 01/06  20:00:00,,,31529869.8326143,16789502.72071286,31529869.832614295,7011699.0642703725 
 01/06  21:00:00,,,31223750.51481696,16639434.698498324,31223750.514816955,6856656.009460667 
 01/06  22:00:00,,,30637490.595849045,16489366.676283786,30637490.595849037,6533399.105791204 
 01/06  23:00:00,,,26521442.120570056,12598773.064778566,26521442.120570056,6340002.135373939 
